Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1
MeanPool-LoRA,0.6492295214922952,0.4944192942110122,0.3852860968225876,0.393845955873548,0.6020791821483159,0.6492295214922952,0.6021438564285225
MeanPool-DoRA,0.6326034063260341,0.4517031672898569,0.3825201413635683,0.3895532894190262,0.5815359904126807,0.6326034063260341,0.5947047736960845
MeanPool-AdaLoRA,0.6342254663422546,0.4478026034997058,0.3925226196831751,0.4015258074554891,0.5799904403101465,0.6342254663422546,0.5950170165236616
LoRA r=2,0.6463909164639091,0.5323305958211727,0.3994602725023877,0.4177045685002457,0.5979764652004991,0.6463909164639091,0.6061501180671053
LoRA r=4,0.648418491484185,0.4745349973778436,0.3886873483855051,0.3941762534739813,0.5977200638297698,0.648418491484185,0.6020067344290603
LoRA r=8,0.6520681265206812,0.4575492293762956,0.3891278155050851,0.3971256429027275,0.5982694645323171,0.6520681265206812,0.6067917653449553
LoRA r=16,0.6370640713706407,0.4338925419146193,0.3945665947787428,0.3961841439060029,0.5814917282429878,0.6370640713706407,0.5983341134733082
LoRA r=32,0.6419302514193025,0.4304216700638707,0.3866658880435804,0.3882770854488122,0.584447584676155,0.6419302514193025,0.6005916530355256
LoRA r=64,0.6415247364152473,0.4698483531712391,0.3805213022266214,0.3841846563894643,0.5850261174034401,0.6415247364152473,0.5946557195789121
DoRA r=2,0.6394971613949716,0.4586257806116247,0.3846076002695673,0.3929013308096686,0.5852759856367945,0.6394971613949716,0.5948933263687564
DoRA r=4,0.6358475263584753,0.4128836857528349,0.3776825512524501,0.380649847490379,0.5750484642657995,0.6358475263584753,0.5892129492408062
DoRA r=8,0.6370640713706407,0.4817480624185868,0.3757210554153423,0.3758992879225499,0.5803529965060228,0.6370640713706407,0.5817056854169976
DoRA r=16,0.6273317112733171,0.421706278324692,0.365071294129709,0.3670935100327601,0.5689244481962885,0.6273317112733171,0.5784141931573943
DoRA r=32,0.6455798864557989,0.424514293547793,0.3884014005482311,0.3908629935096889,0.5863648917950659,0.6455798864557989,0.6004404214456296
DoRA r=64,0.637875101378751,0.3952629273881174,0.3743683680950297,0.3723230714609435,0.5672373182029566,0.637875101378751,0.5908455124940726
AdaLoRA r=2,0.6366585563665855,0.4512005353686513,0.3928684269217293,0.4001311210719236,0.5832410030757138,0.6366585563665855,0.5947779292733134
AdaLoRA r=4,0.6427412814274128,0.4487898227938682,0.3954701277811556,0.4018864482635714,0.5897882815329945,0.6427412814274128,0.6032850429711769
AdaLoRA r=8,0.6374695863746959,0.4596039040877293,0.3915421016863002,0.4030336368133797,0.589900860420636,0.6374695863746959,0.5978083233404166
AdaLoRA r=16,0.6334144363341444,0.4367822847496956,0.3893949701156866,0.3956475935926442,0.5783267707728905,0.6334144363341444,0.5906984053583091
AdaLoRA r=32,0.6313868613138686,0.4380412248242345,0.3904198984365962,0.3986745753330167,0.5778730602676687,0.6313868613138686,0.5943291733803235
AdaLoRA r=64,0.6496350364963503,0.4579132223272675,0.3902567801828657,0.3950514200571504,0.5962147280677892,0.6496350364963503,0.6030139321580508
MHA-64 (shared_context) LoRA r=64,0.6326034063260341,0.4615025728288216,0.357221737899338,0.3575411181473739,0.5681369580279898,0.6326034063260341,0.57340678574282
MHA-64 (independent_context) LoRA r=64,0.635036496350365,0.4042800098086466,0.3867718574439732,0.3833859177019724,0.5777234998466051,0.635036496350365,0.598037084229003
MHA-64 (shared_context) LoRA r=8,0.6180048661800487,0.4121249054564453,0.382279853285574,0.387384972146234,0.5704907927394288,0.6180048661800487,0.5860412983897877
MHA-64 (independent_context) LoRA r=8,0.6240875912408759,0.3865382926949384,0.3694815436354424,0.3677316794109979,0.5591683239547441,0.6240875912408759,0.5808924688422216
Hierarchical (shared_context) LoRA r=8,0.5823195458231955,0.3040261743526003,0.3093066521775678,0.2972597663304893,0.4732244353830946,0.5823195458231955,0.5039444820854737
Hierarchical (independent_context) LoRA r=8,0.5875912408759124,0.3075130307887939,0.3145474140259719,0.3028114002110603,0.4767805355354582,0.5875912408759124,0.5160424331326923
Attention (shared_context) LoRA r=8,0.6370640713706407,0.4057387778976055,0.3546198575234575,0.3553481087691185,0.5655065531538874,0.6370640713706407,0.5772173667721431
Attention (independent_context) LoRA r=8,0.6326034063260341,0.4351518693866585,0.3692981065103971,0.3722888608943783,0.5697984810695839,0.6326034063260341,0.580460770466661
