finetuning,pooling,patch_size,accuracy,macro_recall,macro_f1
04_FullFT,Mean,8,0.6455798864557989,0.37756831964996446,0.3842066237972372
04_FullFT,Attention-shared,8,0.6342254663422546,0.36677617501677856,0.3657052845527099
04_FullFT,Attention-indep,8,0.6435523114355232,0.3711535992861861,0.3767156113189732
04_FullFT,MHA-shared,8,0.6346309813463098,0.3875559211187275,0.38395358781626693
04_FullFT,MHA-indep,8,0.635036496350365,0.36574001284261765,0.36188269575229537
04_FullFT,Hierarchical-shared,8,0.5948905109489051,0.32713199106091706,0.3143303806511465
04_FullFT,Hierarchical-indep,8,0.5961070559610706,0.3173189750286984,0.30544688606034737
04_FullFT,Mean,16,0.6374695863746959,,
04_FullFT,Attention-shared,16,0.6265206812652068,,
04_FullFT,Attention-indep,16,0.6200324412003244,,
04_FullFT,MHA-shared,16,,,
04_FullFT,MHA-indep,16,,,
04_FullFT,Hierarchical-shared,16,0.5786699107866992,,
04_FullFT,Hierarchical-indep,16,0.5827250608272506,,
04_FullFT,Mean,32,0.6127331711273317,,
04_FullFT,Attention-shared,32,0.6115166261151662,,
04_FullFT,Attention-indep,32,0.6220600162206001,,
04_FullFT,MHA-shared,32,,,
04_FullFT,MHA-indep,32,,,
04_FullFT,Hierarchical-shared,32,0.5738037307380373,,
04_FullFT,Hierarchical-indep,32,0.5725871857258719,,
04_FullFT,Mean,64,0.635036496350365,,
04_FullFT,Attention-shared,64,0.637875101378751,,
04_FullFT,Attention-indep,64,0.6236820762368208,,
04_FullFT,MHA-shared,64,,,
04_FullFT,MHA-indep,64,,,
04_FullFT,Hierarchical-shared,64,0.5875912408759124,,
04_FullFT,Hierarchical-indep,64,0.5977291159772912,,
